timestamp_ms,ax_g,ay_g,az_g,label
12124,0.3934,-0.5103,1.149,0
12134,0.453,-0.4725,1.108,0
12144,0.4874,-0.4234,1.0746,0
12154,0.4986,-0.3695,1.0026,0
12164,0.4898,-0.3163,0.8735,0
12174,0.4278,-0.2746,0.7419,0
12184,0.3097,-0.2638,0.6389,0
12194,0.1718,-0.2746,0.5464,0
12204,0.0444,-0.2968,0.4569,0
12214,-0.02,-0.2829,0.3566,0
12224,-0.0195,-0.2548,0.2443,0
12234,-0.0146,-0.2206,0.1401,0
12244,-0.0412,-0.2053,0.0779,0
12254,-0.0854,-0.2116,0.0522,0
12264,-0.1145,-0.2243,0.029,0
12274,-0.1074,-0.2358,-0.01,0
12284,-0.0827,-0.2611,-0.053,0
12294,-0.0657,-0.297,-0.0644,0
12304,-0.0666,-0.3273,-0.0232,0
12314,-0.1132,-0.3468,0.0798,0
12324,-0.1896,-0.3705,0.2304,0
12334,-0.2333,-0.4076,0.3622,0
12344,-0.1808,-0.4156,0.4249,0
12354,-0.0742,-0.4098,0.4723,0
12364,-0.0005,-0.4369,0.5926,0
12374,0.0412,-0.4852,0.7815,0
12384,0.0493,-0.523,1.1219,0
12394,0.1167,-0.493,1.5642,0
12404,0.4305,-0.4068,1.6859,0
12414,0.791,-0.3097,1.6449,0
12424,0.9513,-0.2714,1.7191,0
12434,0.9101,-0.3036,1.8831,0
12444,0.8115,-0.3363,1.9464,0
12454,0.7124,-0.3737,1.8797,0
12464,0.5647,-0.4317,1.7855,0
12474,0.3732,-0.5059,1.7477,0
12484,0.2402,-0.5735,1.675,0
12494,0.214,-0.618,1.5332,0
12504,0.2575,-0.6245,1.376,0
12514,0.2599,-0.6182,1.3372,0
12524,0.2506,-0.5921,1.3413,0
12534,0.2912,-0.525,1.2974,0
12544,0.3329,-0.4322,1.2459,0
12554,0.3593,-0.3417,1.213,0
12564,0.4144,-0.2465,1.1092,0
12574,0.4444,-0.173,0.9865,0
12584,0.4037,-0.1462,0.8952,0
12594,0.3002,-0.1674,0.8452,0
12604,0.1823,-0.2055,0.7873,0
12614,0.0949,-0.2721,0.6726,0
12624,0.0337,-0.3297,0.5501,0
12634,-0.0132,-0.3793,0.4879,0
12644,-0.002,-0.3983,0.4122,0
12654,0.0395,-0.3893,0.3251,0
12664,0.0459,-0.3788,0.2919,0
12674,0.0054,-0.3812,0.3036,0
12684,-0.0207,-0.3966,0.3175,0
12694,0.0146,-0.4088,0.2897,0
12704,0.0915,-0.4142,0.2389,0
12714,0.1181,-0.4354,0.2431,0
12724,0.0681,-0.4808,0.3097,0
12734,0.0198,-0.5274,0.3622,0
12744,0.0298,-0.5538,0.3522,0
12754,0.0649,-0.5467,0.3204,0
12764,0.0327,-0.5582,0.3871,0
12774,-0.0339,-0.5855,0.5147,0
12784,-0.0351,-0.6184,0.6043,0
12794,0.0334,-0.637,0.6594,0
12804,0.1215,-0.6548,0.7156,0
12814,0.1669,-0.6863,0.8193,0
12824,0.1638,-0.7222,0.9792,0
12834,0.163,-0.7312,1.18,0
12844,0.2265,-0.6795,1.3628,0
12854,0.3961,-0.5865,1.4236,0
12864,0.5682,-0.4976,1.4536,0
12874,0.6797,-0.4305,1.5188,0
12884,0.7385,-0.3942,1.5759,0
12894,0.7288,-0.3837,1.6213,0
12904,0.6736,-0.4269,1.6071,0
12914,0.6204,-0.4874,1.4853,0
12924,0.5137,-0.5469,1.3748,0
12934,0.359,-0.6028,1.3042,0
12944,0.248,-0.628,1.1983,0
12954,0.1723,-0.6045,1.0934,0
12964,0.1198,-0.5726,1.0399,0
12974,0.1162,-0.5237,0.997,0
12984,0.1694,-0.4618,0.9545,0
12994,0.237,-0.3954,0.9328,0
13004,0.2909,-0.3573,0.9384,0
13014,0.3451,-0.3397,0.9296,0
13024,0.3898,-0.3395,0.9052,0
13034,0.3971,-0.3614,0.8981,0
13044,0.3995,-0.3954,0.8942,0
13054,0.4352,-0.4007,0.8208,0
13064,0.4469,-0.3893,0.728,0
13074,0.3861,-0.3866,0.6787,0
13084,0.2921,-0.3829,0.6787,0
13094,0.2658,-0.3722,0.6097,0
13104,0.3253,-0.317,0.4471,0
13114,0.3234,-0.2697,0.3695,0
13124,0.2521,-0.2714,0.3612,0
13134,0.1994,-0.2748,0.3087,0
13144,0.1765,-0.2692,0.2265,0
13154,0.1528,-0.2729,0.1652,0
13164,0.1098,-0.2677,0.1355,0
13174,0.0273,-0.2475,0.1538,0
13184,-0.0537,-0.2304,0.1664,0
13194,-0.1115,-0.1918,0.1608,0
13204,-0.1259,-0.165,0.1411,0
13214,-0.122,-0.1535,0.1396,0
13224,-0.1135,-0.1601,0.1843,0
13234,-0.1242,-0.1943,0.2985,0
13244,-0.1547,-0.286,0.4942,0
13254,-0.1325,-0.4137,0.7148,0
13264,-0.042,-0.5164,0.946,0
13274,0.0813,-0.5838,1.1912,0
13284,0.2338,-0.5928,1.4763,0
13294,0.4374,-0.5909,1.6847,0
13304,0.6602,-0.5857,1.8255,0
13314,0.8239,-0.6016,1.9612,0
13324,0.9106,-0.6577,2.0672,0
13334,0.9599,-0.72,2.0904,0
13344,0.9299,-0.7864,2.0735,0
13354,0.8269,-0.8418,2.0264,0
13364,0.6963,-0.8701,1.878,0
13374,0.5218,-0.8532,1.7257,0
13384,0.2763,-0.8337,1.6694,0
13394,0.1477,-0.7929,1.5039,0
13404,0.1769,-0.7158,1.1983,0
13414,0.1948,-0.6297,0.9816,0
13424,0.1289,-0.5774,0.9438,0
13434,0.0764,-0.5213,0.9496,0
13444,0.1201,-0.4456,0.8842,0
13454,0.2101,-0.33,0.7939,0
13464,0.2916,-0.2155,0.6904,0
13474,0.3129,-0.1045,0.5896,0
13484,0.2768,-0.0071,0.5274,0
13494,0.2414,0.0344,0.4327,0
13504,0.2758,0.063,0.2502,0
13514,0.3148,0.0844,0.0808,0
13524,0.2682,0.0459,0.0486,0
13534,0.1359,-0.0242,0.1725,0
13544,0.0344,-0.1125,0.3236,0
13554,0.0442,-0.1926,0.3356,0
13564,0.1289,-0.2375,0.2536,0
13574,0.196,-0.256,0.1699,0
13584,0.164,-0.2751,0.1799,0
13594,0.0417,-0.3158,0.2724,0
13604,-0.0315,-0.3458,0.3141,0
13614,-0.0002,-0.339,0.2619,0
13624,0.0561,-0.3148,0.2384,0
13634,0.0681,-0.3168,0.3053,0
13644,0.0249,-0.3488,0.4901,0
13654,-0.0342,-0.3578,0.813,0
13664,0.0398,-0.3158,1.0902,0
13674,0.2731,-0.2321,1.1847,0
13684,0.5032,-0.1596,1.2559,0
13694,0.6814,-0.1672,1.3316,0
13704,0.7895,-0.2062,1.3479,0
13714,0.7615,-0.298,1.448,0
13724,0.627,-0.462,1.5925,0
13734,0.5369,-0.6407,1.6022,0
13744,0.4813,-0.7876,1.54,0
13754,0.4144,-0.9274,1.4873,0
13764,0.3224,-1.0236,1.4661,0
13774,0.2477,-1.0599,1.4656,0
13784,0.2426,-1.0485,1.4058,0
13794,0.2926,-0.9916,1.3208,0
13804,0.3292,-0.893,1.3052,0
13814,0.3161,-0.7783,1.3945,0
13824,0.339,-0.6526,1.4507,0
13834,0.443,-0.5023,1.4009,0
13844,0.5501,-0.3754,1.303,0
13854,0.5921,-0.2792,1.2415,0
13864,0.5679,-0.2187,1.2005,0
13874,0.5433,-0.1928,1.0673,0
13884,0.4801,-0.2089,0.9064,0
13894,0.3295,-0.2607,0.7932,0
13904,0.164,-0.3561,0.7053,0
13914,0.0244,-0.4032,0.6421,0
13924,-0.0234,-0.421,0.5357,0
13934,-0.0051,-0.3798,0.3912,0
13944,0.0288,-0.3287,0.2624,0
13954,0.0608,-0.2729,0.175,0
13964,0.0796,-0.2445,0.1242,0
13974,0.1018,-0.1972,0.1008,0
13984,0.1264,-0.1738,0.0979,0
13994,0.1118,-0.1701,0.1359,0
14004,0.0669,-0.197,0.2048,0
14014,0.0398,-0.2423,0.2465,0
14024,0.0556,-0.2758,0.2399,0
14034,0.0581,-0.3082,0.236,0
14044,0.0195,-0.3444,0.278,0
14054,-0.0449,-0.3978,0.3773,0
14064,-0.0698,-0.4615,0.4723,0
14074,-0.0234,-0.5106,0.5489,0
14084,0.0351,-0.5857,0.6655,0
14094,0.0969,-0.6941,0.8161,0
14104,0.1491,-0.8247,1.0224,0
14114,0.1965,-0.956,1.2532,0
14124,0.2707,-1.0585,1.501,0
14134,0.4159,-1.0787,1.705,0
14144,0.6297,-1.0382,1.767,0
14154,0.8276,-0.9606,1.7313,0
14164,0.9098,-0.8671,1.6779,0
14174,0.8396,-0.7959,1.6791,0
14184,0.6673,-0.7358,1.6757,0
14194,0.5228,-0.677,1.5366,0
14204,0.4015,-0.6126,1.3455,0
14214,0.2555,-0.5474,1.211,0
14224,0.1001,-0.4801,1.1478,0
14234,0.0115,-0.3705,1.0629,0
14244,-0.0005,-0.2463,0.9316,0
14254,0.0276,-0.122,0.7851,0
14264,0.0671,-0.0303,0.6836,0
14274,0.1164,0.0334,0.5957,0
14284,0.1657,0.0674,0.5423,0
14294,0.1999,0.0857,0.5467,0
14304,0.2314,0.0786,0.5708,0
14314,0.269,0.0481,0.576,0
14324,0.2709,-0.0195,0.5647,0
14334,0.2538,-0.1218,0.5272,0
14344,0.2604,-0.2221,0.4339,0
14354,0.2123,-0.3297,0.42,0
14364,0.1496,-0.4308,0.4676,0
14374,0.115,-0.5023,0.5216,0
14384,0.1374,-0.5303,0.5298,0
14394,0.2013,-0.5181,0.4849,0
14404,0.1877,-0.5084,0.4976,0
14414,0.1032,-0.5186,0.5645,0
14424,0.0617,-0.5277,0.614,0
14434,0.0749,-0.5452,0.6331,0
14444,0.1396,-0.5787,0.6231,0
14454,0.2074,-0.617,0.6626,0
14464,0.2279,-0.6734,0.7815,0
14474,0.2231,-0.7051,0.9721,0
14484,0.278,-0.6663,1.1317,0
14494,0.4017,-0.535,1.1995,0
14504,0.5303,-0.4134,1.1417,0
14514,0.5823,-0.3275,1.077,0
14524,0.5325,-0.3114,1.0824,0
14534,0.4376,-0.3981,1.0814,0
14544,0.3314,-0.5223,1.0719,0
14554,0.2189,-0.6472,1.0748,0
14564,0.1516,-0.7593,1.0714,0
14574,0.1413,-0.7942,1.0282,0
14584,0.1435,-0.7937,0.985,0
14594,0.1518,-0.7395,0.9801,0
14604,0.1745,-0.6526,0.9897,0
14614,0.1782,-0.5167,1.0616,0
14624,0.1923,-0.378,1.1786,0
14634,0.2895,-0.2409,1.2064,0
14644,0.4298,-0.1067,1.1807,0
14654,0.5255,-0.0259,1.1832,0
14664,0.5694,0.0061,1.2049,0
14674,0.5352,-0.0015,1.2437,0
14684,0.5172,-0.0542,1.1917,0
14694,0.4998,-0.1142,1.0709,0
14704,0.4547,-0.1833,0.9918,0
14714,0.419,-0.2331,0.9103,0
14724,0.4071,-0.2365,0.8225,0
14734,0.3876,-0.2079,0.7561,0
14744,0.3348,-0.1806,0.717,0
14754,0.2782,-0.1579,0.6194,0
14764,0.1877,-0.1489,0.5028,0
14774,0.0432,-0.1767,0.4735,0
14784,-0.0759,-0.206,0.4632,0
14794,-0.0927,-0.2009,0.4193,0
14804,-0.0664,-0.1708,0.3727,0
14814,-0.0832,-0.1696,0.4378,0
14824,-0.1296,-0.1967,0.604,0
14834,-0.0947,-0.225,0.7805,0
14844,0.0283,-0.2358,0.9313,0
14854,0.1408,-0.2624,1.1595,0
14864,0.2199,-0.3139,1.4643,0
14874,0.3236,-0.3617,1.6901,0
14884,0.4671,-0.3954,1.8072,0
14894,0.6075,-0.4383,1.8661,0
14904,0.6865,-0.5091,1.8834,0
14914,0.759,-0.5921,1.7948,0
14924,0.7634,-0.6782,1.7082,0
14934,0.7258,-0.7576,1.5917,0
14944,0.6782,-0.8149,1.3777,0
14954,0.586,-0.8222,1.1373,0
14964,0.4149,-0.792,0.9601,0
14974,0.2099,-0.7212,0.8332,0
14984,0.0561,-0.5979,0.6738,0
14994,-0.0525,-0.4405,0.4947,0
15004,-0.1125,-0.3104,0.3207,0
15014,-0.1835,-0.1818,0.2143,0
15024,-0.2516,-0.093,0.1484,0
15034,-0.2882,-0.0376,0.0945,0
15044,-0.3248,0.0166,0.0893,0
15054,-0.3475,0.0456,0.0988,0
15064,-0.329,0.0752,0.0923,0
15074,-0.2829,0.094,0.1015,0
15084,-0.2121,0.1018,0.1511,0
15094,-0.2846,0.0442,0.3885,0
15104,-0.3348,-0.0696,0.8156,0
15114,-0.2892,-0.1389,1.3635,0
15124,0.0222,-0.1891,1.6742,0
15134,0.4703,-0.2004,1.7448,0
15144,0.8073,-0.247,1.8634,0
15154,0.9857,-0.3075,2.0235,0
15164,1.0939,-0.3619,2.0862,0
15174,1.1495,-0.411,2.0054,0
15184,1.0944,-0.453,1.8719,0
15194,0.8862,-0.4942,1.7582,0
15204,0.6275,-0.5384,1.6266,0
15214,0.3707,-0.5357,1.4958,0
15224,0.1721,-0.5298,1.3169,0
15234,0.0747,-0.4669,1.0878,0
15244,-0.0347,-0.3578,0.9831,0
